id,city.address,city.lat,city.lon,google.lat,google.lon,city_google.distance
1129,"AVENIDA CEL DIONISIO ALENCAR, 350",-3.831276,-38.487595,-3.8312851500000003,-38.48758685,0.6805829925197675
1130,"AVENIDA CEL DIONISIO ALENCAR, 144",-3.829334,-38.486846,-3.829317649999999,-38.48688285,2.2371941309959533
1132,"RUA DOR JOAQUIM BENTO, 820",-3.8283,-38.484261,-3.8283292000000007,-38.48426015,1.624130546678122
1133,"RUA DOR JOAQUIM BENTO, 510",-3.828294,-38.484995,-3.82832185,-38.48500005,1.5735273732790944
1134,"RUA MARIA JOSE WEYNE, 122",-3.828972,-38.48494,-3.8289679999999997,-38.48497450000001,1.9267086159092979
1135,"RUA GUILHERME PESSOA, 1361",-3.827725,-38.482999,-3.82769385,-38.4829951,1.745321814986138
1136,"AVENIDA WASHINGTON SOARES, 8776",-3.828385,-38.482155,-3.8283774,-38.48218825000001,1.8922700318092371
114,"RUA DOR QUIXADA FELICIO, 241",-3.710083,-38.595365,-3.7100468499999995,-38.595351449999995,2.1458433150271
1140,"RUA MANUEL C BRANCO, 1195",-3.833601,-38.4842,-3.8336353499999998,-38.484205450000005,1.933554943566295
1144,"RUA MANUEL C BRANCO, 1011",-3.833366,-38.485887,-3.83340385,-38.4858945,2.1450976140824474
1146,"AVENIDA GURGEL DO AMARAL, 1240",-3.836204,-38.48512,-3.83626575,-38.48508735,3.8816081640972437
1147,"AVENIDA GURGEL DO AMARAL, 549",-3.833394,-38.490746,-3.8333604500000007,-38.4907367,1.935323599535834
1150,"AVENIDA TEN GURGEL DO AMARAL, 270",-3.832955,-38.492441,-3.8329314500000002,-38.4924358,1.3407195066707134
1151,"RUA JOSE BELCHIOR, 535",-3.829153,-38.480681,-3.8291851,-38.48068400000001,1.7924210550236042
1152,"RUA JOSE PEREIRA BARROS, 80",-3.828334,-38.479341,-3.8283302999999997,-38.47937535,1.9165829904754055
1153,"RUA CEL JUSTINO F RAMOS, 351",-3.829215,-38.474971,-3.8290740000000003,-38.474984199999994,7.873366987590505
1154,"RUA CEL JUSTINO F RAMOS, 630",-3.831481,-38.475387,-3.8316231999999997,-38.47540384999999,7.961023794616419
1155,"RUA CEL JUSTINO F RAMOS, 630",-3.831622,-38.475416,-3.8316231999999997,-38.47540384999999,0.677293236561625
1157,"RUA E CJ RESD GUAJERU, 401",-3.834629,-38.477911,-3.8346823000000003,-38.4779367,3.2884505594940148
1158,"RUA SOCORRO GOMES, 413",-3.834676,-38.477945,-3.8346823000000003,-38.4779367,0.578512590145995
1159,"RUA B CJ RESD GUAJERU, 23",-3.83552,-38.477973,-3.8358673999999997,-38.4781995,23.04174015660531
116,"AVENIDA J CJ POLAR, 10",-3.709968,-38.596508,-3.7097154999999993,-38.59669515,17.461032600286842
1160,"RUA B CJ RESD GUAJERU, 434",-3.835863,-38.478212,-3.8358673999999997,-38.4781995,0.7352976669072391
1161,"RUA B CJ RESD GUAJERU, 295",-3.834809,-38.477462,-3.8348143999999995,-38.477454050000006,0.5335033567810464
1162,"RUA SOCORRO GOMES, 239",-3.833506,-38.477097,-3.8334312499999994,-38.4770383,5.279666636194543
1163,"RUA D CJ RESD GUAJERU, 112",-3.833415,-38.476457,-3.8333162499999993,-38.47634690000001,8.212517366115481
1164,"RUA B CJ RESD GUAJERU, 101",-3.833297,-38.476372,-3.8333162499999993,-38.47634690000001,1.7561730332363104
1165,"RUA JOAO ARAUJO LIMA, 1631",-3.836641,-38.561387,0.0,0.0,0.0
1167,"RUA JOAO ARAUJO LIMA, 1771",-3.837375,-38.561634,-3.83723185,-38.5616802,8.361237953775758
1168,"RUA JOAO ARAUJO LIMA, 1911",-3.838819,-38.561843,-3.83850945,-38.5617623,17.782890489381803
1169,"AVENIDA L CJ JOSE WALTER, 1300",-3.836309,-38.559093,-3.8359700000000005,-38.5589899,19.696183645286666
117,"AVENIDA MOZART P.LUCENA, 1211",-3.713349,-38.594275,-3.713220250000001,-38.59423925,7.427884432842083
1170,"AVENIDA L CJ JOSE WALTER, S/N",-3.837536,-38.559458,-3.8376604499999996,-38.559349850000004,9.157871234493806
1173,"AVENIDA L CJ JOSE WALTER, 1560",-3.839198,-38.55997,-3.8391802999999998,-38.55996895,0.9857973621943574
1175,"AVENIDA J CJ JOSE WALTER, 1300",-3.836358,-38.557294,-3.8363601000000003,-38.557289749999995,0.26308612858109137
1177,"AVENIDA J CJ JOSE WALTER, 670",-3.839749,-38.558304,-3.839748,-38.558305950000005,0.12162315697870221
1179,"AVENIDA H CJ JOSE WALTER, 480",-3.84092,-38.559788,-3.8409766500000004,-38.559810299999995,3.383817568280723
1180,"AVENIDA DOS MARINHEIROS, 654",-3.843241,-38.563777,-3.8432820000000003,-38.5638326,3.8352061847931767
1181,"AVENIDA DOS MARINHEIROS, 654",-3.843162,-38.563857,-3.8432820000000003,-38.5638326,6.807610346689641
1182,"RUA JOAO ARAUJO LIMA, 2196",-3.841217,-38.562454,-3.8412102499999996,-38.562519050000006,3.627952621573838
1183,"AVENIDA DOS MARINHEIROS, 750",-3.84349,-38.565375,0.0,0.0,0.0
1184,"AVENIDA I CJ JOSE WALTER, 1480",-3.836948,-38.554316,-3.8369491,-38.55432315,0.4013180995425738
1185,"AVENIDA 95 CJ JOSE WALTER, 60",-3.83891,-38.555452,-3.8388928499999997,-38.55544499999999,1.0295336116104463
1186,"AVENIDA G CJ JOSE WALTER, 290",-3.838353,-38.55722,-3.8383431999999997,-38.55721785,0.5577558627067688
1191,"RUA STA EFIGENIA, 115",-3.834967,-38.500596,-3.8349679500000002,-38.50057295,1.279742401938209
1193,"RUA ANGELICA GURGEL, SN",-3.835369,-38.499074,-3.83536915,-38.499062949999995,0.6130327750931015
1196,"RUA GUARUJA, 404",-3.834812,-38.497901,-3.8348343,-38.49790134999999,1.2399754457161707
1197,"RUA GUARUJA, 336",-3.834846,-38.496317,-3.8348679999999997,-38.49631775,1.2238515722620105
1199,"AVENIDA TEN JURANDIR DE ALENCAR, SN",-3.832307,-38.49751,-3.8323005500000007,-38.497511700000004,0.3707962770926968
12,"AVENIDA CEL CARVALHO, 163",-3.703877,-38.591409,-3.7038881,-38.591440500000004,1.8534223004761805
120,"AVENIDA DOM ALOISIO LORSCHEIDER, 1183",-3.715936,-38.597278,-3.7161767999999995,-38.597431400000005,15.864028005335872
1201,"AVENIDA FREI CIRILO, 126",-3.828818,-38.493621,-3.8289291499999987,-38.49370610000001,7.776501171558334
1202,"AVENIDA FREI CIRILO, 81",-3.828086,-38.493434,-3.8280960000000004,-38.493438499999996,0.6094449265103659
1203,"RUA MANUEL C BRANCO, 54",-3.831666,-38.495075,-3.8316908000000005,-38.4950807,1.4146085002348825
1204,"RUA EDUARDO PORTO, 57",-3.83272,-38.494626,-3.8327047,-38.49462955,0.873138984992037
1206,"RUA MANUEL C BRANCO, 316",-3.831807,-38.4927,-3.8317961,-38.492571,7.181654181685825
1207,"RUA GUARUJA, 626",-3.83487,-38.494954,-3.83485955,-38.49495465000001,0.5821113090885501
1209,"RUA PDE PEDRO DE ALENCAR, 888",-3.835451,-38.494138,-3.835450100000001,-38.49405865,4.4020621934307025
1210,"RUA PDE PEDRO DE ALENCAR, 888",-3.835772,-38.494147,-3.835450100000001,-38.49405865,18.55576506498652
1211,"AVENIDA MON TABOSA, 84",-3.72303,-38.522229,-3.7229971500000003,-38.5222233,1.853552649065796
1212,"RUA PESSOA ANTA, 96",-3.721115,-38.522037,-3.7210993500000002,-38.522043,0.9316032593131801
1213,"RUA PESSOA ANTA, 57",-3.721126,-38.522126,-3.7210993500000002,-38.522043,4.83736462389398
1214,"AVENIDA ALBERTO NEPOMUCENO, SN",-3.723415,-38.524429,-3.7234202000000005,-38.52442965,0.29134724988062766
1215,"AVENIDA ALBERTO NEPOMUCENO, SN",-3.722916,-38.524008,-3.7229116499999995,-38.5240141,0.41596274074197304
1216,"AVENIDA ALM BARROSO, 511",-3.720675,-38.518805,-3.7206044,-38.51867935,8.000202669158362
1217,"RUA ALM BARROSO, 411",-3.720799,-38.519724,-3.7208880000000004,-38.519708949999995,5.0181287932770875
1218,"RUA ALM JACEGUAI, SN",-3.721442,-38.519336,-3.72144015,-38.51936915,1.8420434792417808
1219,"AVENIDA ALM BARROSO, 714",-3.720403,-38.516762,-3.7203989500000003,-38.516760149999996,0.2474592433647483
122,"AVENIDA AMBIENTALISTA ARY THIERS, 235",-3.71618,-38.597431,-3.7161767999999995,-38.597431400000005,0.1792906379356771
1220,"AVENIDA ALM BARROSO, 668",-3.720605,-38.518279,-3.7206044,-38.51867935,22.21155640589536
1221,"RUA RUFINO DE ALENCAR, 346",-3.724039,-38.520141,-3.7240525,-38.5203223,10.0865006843613
1222,"AVENIDA DOM MANUEL, 3",-3.724059,-38.519657,-3.72405145,-38.519688849999994,1.8162130561570844
